Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
HPRT1	9.91E-04	1.17E-01	3.38E-02	2.50E-01	NA	NA	5.48E-02
MOCS2	5.83E-03	1.67E-01	1.15E-02	1.80E-01	4.04E-01	7.08E-01	5.48E-02
MAPK9	1.01E-02	1.99E-01	6.15E-03	1.54E-01	1.01E-01	8.12E-01	5.48E-02
SCN1A	1.43E-02	2.17E-01	4.15E-03	1.45E-01	1.09E-01	4.58E-01	5.48E-02
ABHD5	1.35E-02	2.12E-01	4.50E-03	1.45E-01	1.71E-01	2.15E-01	5.48E-02
C2orf18	1.36E-02	2.13E-01	4.27E-03	1.45E-01	1.84E-02	3.41E-03	5.48E-02
BATF3	2.08E-03	1.32E-01	2.34E-02	2.21E-01	6.57E-01	3.72E-01	5.48E-02
ROBO3	1.93E-02	2.37E-01	2.69E-03	1.29E-01	2.59E-01	8.94E-01	5.48E-02
CCDC130	1.05E-03	1.18E-01	3.21E-02	2.47E-01	5.88E-02	1.12E-01	5.48E-02
CBLN4	1.25E-02	2.07E-01	5.06E-03	1.49E-01	1.93E-01	7.68E-01	5.48E-02
PRR18	3.70E-04	9.24E-02	4.96E-02	2.89E-01	2.86E-01	7.18E-01	5.48E-02
AGT	8.81E-03	1.88E-01	8.59E-03	1.73E-01	2.77E-01	4.49E-02	5.54E-02
HSPA2	3.85E-03	1.51E-01	1.64E-02	1.98E-01	3.68E-01	8.16E-01	5.54E-02
MPST	1.48E-02	2.20E-01	4.76E-03	1.46E-01	3.00E-01	4.13E-01	5.54E-02
PAH	4.43E-02	3.06E-01	5.89E-04	8.49E-02	3.21E-02	7.32E-01	5.54E-02
PON2	8.97E-04	1.13E-01	3.83E-02	2.64E-01	6.04E-01	4.78E-01	5.54E-02
PTPRF	1.11E-03	1.19E-01	3.63E-02	2.57E-01	1.52E-01	9.58E-01	5.54E-02
INA	2.18E-03	1.34E-01	2.60E-02	2.29E-01	2.96E-03	9.08E-01	5.54E-02
NDRG1	6.10E-04	9.37E-02	4.50E-02	2.79E-01	5.34E-01	9.08E-01	5.54E-02
TBR1	8.77E-03	1.88E-01	9.06E-03	1.74E-01	4.28E-01	9.51E-02	5.54E-02
C8orf55	4.51E-02	3.08E-01	6.36E-04	8.49E-02	3.88E-01	4.12E-02	5.54E-02
KIAA1609	4.64E-03	1.57E-01	1.41E-02	1.92E-01	6.45E-01	2.27E-01	5.54E-02
AIDA	1.32E-04	7.33E-02	7.33E-02	3.37E-01	6.19E-01	1.69E-01	5.54E-02
TTC23	6.40E-03	1.74E-01	1.15E-02	1.80E-01	6.51E-03	3.29E-01	5.54E-02
MMP28	3.57E-03	1.48E-01	1.76E-02	2.02E-01	1.29E-01	4.58E-01	5.54E-02
MAP6D1	2.55E-03	1.41E-01	2.20E-02	2.19E-01	2.90E-01	1.87E-01	5.54E-02
ZNRF3	3.57E-03	1.48E-01	1.87E-02	2.05E-01	1.56E-01	9.88E-01	5.54E-02
SLITRK2	6.35E-03	1.74E-01	1.09E-02	1.79E-01	NA	NA	5.54E-02
GPR62	4.92E-03	1.60E-01	1.43E-02	1.92E-01	4.89E-01	8.10E-01	5.54E-02
SLC16A9	1.40E-02	2.15E-01	5.13E-03	1.49E-01	5.19E-01	7.97E-01	5.54E-02
CRB2	3.12E-03	1.46E-01	1.93E-02	2.07E-01	5.76E-01	3.90E-01	5.54E-02
BDNF-AS1	1.52E-02	2.24E-01	4.47E-03	1.45E-01	NA	NA	5.54E-02
ZNF814	7.24E-03	1.79E-01	9.94E-03	1.77E-01	NA	NA	5.54E-02
CCDC152	3.14E-06	2.27E-02	1.57E-01	4.60E-01	NA	NA	5.54E-02
ARAF	3.19E-03	1.46E-01	2.21E-02	2.20E-01	NA	NA	5.63E-02
DHODH	2.54E-02	2.62E-01	2.35E-03	1.25E-01	4.09E-01	6.66E-02	5.63E-02
GRM3	4.98E-02	3.19E-01	5.65E-04	8.49E-02	9.74E-03	2.24E-01	5.63E-02
NEO1	3.48E-04	9.24E-02	6.01E-02	3.11E-01	5.27E-01	2.94E-01	5.63E-02
NFATC1	8.61E-04	1.12E-01	4.27E-02	2.75E-01	2.73E-01	7.79E-01	5.63E-02
PPP1R3C	3.74E-03	1.49E-01	1.97E-02	2.09E-01	1.24E-01	9.96E-01	5.63E-02
PRKCE	2.97E-02	2.76E-01	1.73E-03	1.16E-01	9.39E-01	5.11E-01	5.63E-02
TALDO1	2.87E-02	2.74E-01	1.91E-03	1.17E-01	4.76E-01	4.48E-01	5.63E-02
MORF4L2	8.31E-03	1.87E-01	1.03E-02	1.78E-01	NA	NA	5.63E-02
IQSEC1	9.66E-03	1.96E-01	8.78E-03	1.73E-01	2.31E-01	4.24E-01	5.63E-02
PLIN3	2.00E-03	1.31E-01	2.78E-02	2.35E-01	NA	NA	5.63E-02
ARHGEF26	3.10E-02	2.79E-01	1.79E-03	1.16E-01	NA	NA	5.63E-02
KLF15	7.64E-03	1.81E-01	1.06E-02	1.78E-01	5.74E-01	2.15E-01	5.63E-02
JAM3	2.27E-03	1.36E-01	2.68E-02	2.32E-01	9.44E-04	6.39E-03	5.63E-02
FRMD8	7.83E-03	1.83E-01	1.12E-02	1.80E-01	3.46E-01	1.04E-01	5.63E-02
PIK3IP1	1.62E-02	2.26E-01	4.82E-03	1.46E-01	6.35E-02	2.43E-01	5.63E-02
MEIR5	8.84E-03	1.88E-01	9.65E-03	1.77E-01	NA	NA	5.63E-02
TRIM16L	1.37E-02	2.14E-01	5.83E-03	1.54E-01	3.12E-01	1.61E-01	5.63E-02
ZNF788	2.26E-02	2.51E-01	2.83E-03	1.30E-01	NA	NA	5.63E-02
DPY19L2P1	4.78E-02	3.15E-01	6.08E-04	8.49E-02	NA	NA	5.63E-02
HSP90AB4P	1.81E-02	2.33E-01	4.28E-03	1.45E-01	NA	NA	5.63E-02
BIN1	1.53E-02	2.24E-01	5.62E-03	1.53E-01	6.25E-02	3.81E-01	5.71E-02
CNN2	1.28E-02	2.09E-01	7.11E-03	1.61E-01	3.77E-03	6.66E-01	5.71E-02
DIO3	5.37E-02	3.28E-01	5.99E-04	8.49E-02	3.37E-01	6.78E-01	5.71E-02
F2R	3.10E-03	1.46E-01	2.29E-02	2.21E-01	4.75E-01	6.02E-02	5.71E-02
TRIM37	9.49E-03	1.95E-01	1.03E-02	1.78E-01	2.44E-01	3.30E-01	5.71E-02
SUOX	2.72E-02	2.70E-01	2.45E-03	1.26E-01	9.29E-02	4.99E-01	5.71E-02
UBE2V2	4.08E-02	2.99E-01	1.10E-03	1.02E-01	1.41E-01	8.48E-01	5.71E-02
RBM10	4.86E-03	1.60E-01	1.78E-02	2.04E-01	NA	NA	5.71E-02
SPON1	5.37E-03	1.64E-01	1.65E-02	1.98E-01	3.80E-01	2.60E-01	5.71E-02
YIF1A	2.73E-02	2.70E-01	2.52E-03	1.27E-01	1.83E-01	3.15E-04	5.71E-02
MTF2	5.80E-03	1.67E-01	1.52E-02	1.95E-01	4.03E-01	6.29E-01	5.71E-02
TBC1D9	3.09E-02	2.79E-01	2.11E-03	1.19E-01	7.15E-01	3.73E-01	5.71E-02
PHLPP1	4.64E-03	1.57E-01	1.73E-02	2.01E-01	NA	NA	5.71E-02
SOX8	1.18E-03	1.19E-01	4.08E-02	2.71E-01	3.05E-01	7.41E-01	5.71E-02
DNAJC27	8.31E-03	1.87E-01	1.14E-02	1.80E-01	NA	NA	5.71E-02
PECR	4.20E-03	1.52E-01	2.02E-02	2.11E-01	4.46E-01	3.31E-01	5.71E-02
ARHGAP23	3.05E-03	1.46E-01	2.44E-02	2.24E-01	NA	NA	5.71E-02
HECTD3	2.32E-02	2.55E-01	3.17E-03	1.35E-01	6.60E-01	5.83E-01	5.71E-02
CLMN	1.44E-04	7.45E-02	8.12E-02	3.51E-01	4.39E-02	4.69E-01	5.71E-02
NIPAL2	3.53E-02	2.84E-01	1.64E-03	1.14E-01	NA	NA	5.71E-02
FAM123A	5.38E-06	2.57E-02	1.54E-01	4.57E-01	3.55E-01	6.65E-01	5.71E-02
AP1S1	7.39E-04	1.01E-01	5.21E-02	2.94E-01	8.56E-01	7.07E-01	5.80E-02
FAAH	2.94E-02	2.75E-01	2.65E-03	1.28E-01	5.96E-01	5.32E-02	5.80E-02
FOXO1	1.28E-02	2.09E-01	8.16E-03	1.72E-01	4.54E-01	2.21E-01	5.80E-02
ICA1	1.71E-05	4.04E-02	1.38E-01	4.37E-01	5.66E-01	4.09E-01	5.80E-02
LLGL1	9.53E-04	1.17E-01	4.77E-02	2.84E-01	2.28E-02	3.34E-01	5.80E-02
SNAP25	5.50E-03	1.64E-01	1.77E-02	2.04E-01	2.14E-01	7.31E-01	5.80E-02
TTR	6.38E-03	1.74E-01	1.61E-02	1.98E-01	6.19E-01	1.24E-01	5.80E-02
GPR37L1	4.30E-03	1.54E-01	2.01E-02	2.11E-01	3.56E-02	9.85E-01	5.80E-02
DNM1L	1.65E-02	2.28E-01	5.90E-03	1.54E-01	9.40E-01	8.58E-01	5.80E-02
SGK2	2.85E-02	2.73E-01	2.52E-03	1.27E-01	6.19E-01	5.43E-01	5.80E-02
HEYL	7.41E-03	1.80E-01	1.31E-02	1.86E-01	3.33E-01	4.84E-01	5.80E-02
TXNDC12	3.79E-02	2.90E-01	1.58E-03	1.14E-01	3.21E-01	2.32E-01	5.80E-02
CRYL1	9.20E-03	1.92E-01	1.09E-02	1.79E-01	4.79E-01	6.79E-01	5.80E-02
UACA	2.65E-03	1.42E-01	2.85E-02	2.37E-01	2.14E-01	9.78E-01	5.80E-02
GALNTL1	2.48E-02	2.60E-01	3.12E-03	1.35E-01	8.72E-01	9.00E-01	5.80E-02
SMOC1	7.37E-03	1.80E-01	1.43E-02	1.92E-01	1.69E-01	5.56E-01	5.80E-02
TUT1	1.01E-02	1.99E-01	9.83E-03	1.77E-01	5.82E-01	4.14E-01	5.80E-02
C1orf21	6.18E-02	3.43E-01	4.36E-04	7.91E-02	2.27E-01	2.34E-01	5.80E-02
TEX261	2.08E-02	2.44E-01	4.32E-03	1.45E-01	5.09E-01	5.24E-01	5.80E-02
SBK1	1.96E-02	2.38E-01	4.84E-03	1.46E-01	2.63E-01	5.55E-01	5.80E-02
SLC31A2	1.41E-02	2.17E-01	7.75E-03	1.67E-01	5.39E-01	9.98E-01	5.92E-02
GSTP1	9.95E-02	4.13E-01	1.03E-04	5.22E-02	2.58E-01	6.56E-02	5.92E-02
LSS	3.57E-03	1.48E-01	2.55E-02	2.27E-01	2.07E-03	6.47E-03	5.92E-02
SRPX	1.84E-02	2.34E-01	5.67E-03	1.53E-01	NA	NA	5.92E-02
EEF1E1	4.02E-03	1.51E-01	2.38E-02	2.22E-01	9.31E-02	5.11E-01	5.92E-02
FAM3C	9.30E-03	1.93E-01	1.23E-02	1.84E-01	1.04E-02	1.73E-01	5.92E-02
CDC42EP1	5.44E-03	1.64E-01	1.84E-02	2.04E-01	7.61E-01	2.27E-01	5.92E-02
ARMCX3	8.20E-02	3.84E-01	2.19E-04	6.47E-02	NA	NA	5.92E-02
BCMO1	1.08E-02	2.02E-01	1.08E-02	1.79E-01	6.18E-01	2.52E-01	5.92E-02
ASNSD1	1.00E-02	1.98E-01	1.14E-02	1.80E-01	3.44E-01	4.60E-01	5.92E-02
OXR1	5.35E-02	3.28E-01	8.24E-04	9.17E-02	3.05E-01	3.77E-01	5.92E-02
LRRC1	6.97E-04	9.84E-02	5.73E-02	3.05E-01	7.53E-01	3.80E-01	5.92E-02
TSC22D4	1.92E-02	2.37E-01	5.18E-03	1.49E-01	4.94E-01	6.68E-01	5.92E-02
NCRNA00263	8.90E-03	1.89E-01	1.23E-02	1.84E-01	NA	NA	5.92E-02
HEPACAM	7.14E-03	1.79E-01	1.53E-02	1.96E-01	3.05E-02	2.57E-01	5.92E-02
C5orf25	2.24E-02	2.50E-01	4.54E-03	1.45E-01	9.46E-01	4.75E-01	5.92E-02
SLC7A5P2	5.46E-04	9.26E-02	6.11E-02	3.13E-01	NA	NA	5.92E-02
ADA	1.77E-02	2.31E-01	6.34E-03	1.57E-01	8.65E-01	7.14E-01	6.10E-02
CALM1	2.69E-02	2.70E-01	3.68E-03	1.39E-01	1.64E-01	7.29E-01	6.10E-02
MAN1A1	4.61E-02	3.11E-01	1.24E-03	1.07E-01	1.97E-03	1.45E-02	6.10E-02
PRKX	8.36E-03	1.87E-01	1.47E-02	1.94E-01	NA	NA	6.10E-02
SKP1	3.41E-03	1.48E-01	2.85E-02	2.37E-01	5.29E-01	2.55E-01	6.10E-02
SLC14A1	9.36E-03	1.93E-01	1.29E-02	1.86E-01	2.06E-01	2.99E-01	6.10E-02
TNRC6C	2.16E-04	8.60E-02	8.43E-02	3.57E-01	5.54E-01	9.35E-01	6.10E-02
KIF9	2.75E-03	1.42E-01	3.09E-02	2.43E-01	1.30E-01	8.52E-03	6.10E-02
SMAP2	1.98E-02	2.39E-01	5.51E-03	1.51E-01	2.13E-02	6.37E-01	6.10E-02
C12orf34	1.45E-03	1.30E-01	4.47E-02	2.79E-01	2.99E-01	1.71E-02	6.10E-02
MED30	1.63E-02	2.26E-01	7.04E-03	1.61E-01	1.61E-02	1.81E-01	6.10E-02
SYT2	7.33E-03	1.79E-01	1.66E-02	1.98E-01	9.09E-02	3.48E-02	6.10E-02
FLJ35776	3.36E-03	1.48E-01	2.80E-02	2.36E-01	1.66E-01	3.82E-01	6.10E-02
STS	2.37E-02	2.57E-01	4.89E-03	1.47E-01	NA	NA	6.14E-02
TBCB	8.75E-02	3.94E-01	2.15E-04	6.47E-02	1.55E-01	1.31E-01	6.14E-02
FUT8	2.77E-03	1.42E-01	3.37E-02	2.50E-01	3.15E-02	6.29E-01	6.14E-02
MYO1D	2.09E-02	2.44E-01	5.88E-03	1.54E-01	2.01E-01	7.87E-01	6.14E-02
CDK16	2.48E-03	1.40E-01	3.49E-02	2.53E-01	NA	NA	6.14E-02
THBS4	1.63E-02	2.26E-01	7.84E-03	1.68E-01	4.97E-01	1.04E-01	6.14E-02
VSNL1	1.34E-03	1.26E-01	4.79E-02	2.85E-01	6.40E-02	1.86E-01	6.14E-02
DCAF5	7.98E-03	1.84E-01	1.60E-02	1.97E-01	NA	NA	6.14E-02
AP4M1	6.55E-02	3.52E-01	5.77E-04	8.49E-02	9.39E-01	2.86E-01	6.14E-02
MRPL33	1.76E-02	2.31E-01	7.02E-03	1.61E-01	1.31E-02	2.47E-03	6.14E-02
KIAA0317	2.88E-02	2.74E-01	3.57E-03	1.39E-01	6.13E-02	6.77E-01	6.14E-02
KIF13B	4.17E-03	1.52E-01	2.63E-02	2.31E-01	1.03E-01	5.42E-01	6.14E-02
CARHSP1	1.18E-02	2.06E-01	1.11E-02	1.80E-01	9.54E-01	7.34E-01	6.14E-02
FBXO7	1.48E-02	2.21E-01	8.60E-03	1.73E-01	2.51E-01	7.43E-01	6.14E-02
FAM49B	3.69E-02	2.88E-01	2.20E-03	1.23E-01	6.73E-03	1.26E-02	6.14E-02
IL17RD	5.33E-03	1.64E-01	2.23E-02	2.20E-01	2.73E-01	2.33E-02	6.14E-02
AJAP1	3.78E-02	2.90E-01	2.23E-03	1.23E-01	6.03E-01	1.52E-01	6.14E-02
SHROOM4	2.31E-03	1.36E-01	3.71E-02	2.61E-01	NA	NA	6.14E-02
SEH1L	1.08E-01	4.26E-01	9.31E-05	5.22E-02	1.34E-02	6.68E-01	6.14E-02
SLC38A10	4.83E-02	3.15E-01	1.35E-03	1.09E-01	5.31E-01	1.47E-01	6.14E-02
PLEKHA7	1.04E-02	2.00E-01	1.24E-02	1.85E-01	3.27E-01	4.79E-01	6.14E-02
CHRNA5	2.06E-02	2.42E-01	6.12E-03	1.54E-01	1.00E-02	3.78E-01	6.24E-02
COX7A1	1.20E-03	1.20E-01	5.27E-02	2.95E-01	4.47E-02	2.81E-01	6.24E-02
GABRB1	6.79E-03	1.78E-01	1.91E-02	2.07E-01	1.33E-01	4.69E-01	6.24E-02
RAPGEF1	1.72E-03	1.31E-01	4.55E-02	2.80E-01	1.67E-01	8.17E-01	6.24E-02
HPCAL1	2.46E-02	2.60E-01	5.16E-03	1.49E-01	5.96E-01	9.32E-01	6.24E-02
KCNK2	1.24E-02	2.07E-01	1.13E-02	1.80E-01	1.72E-01	1.88E-01	6.24E-02
4276	6.80E-02	3.58E-01	6.17E-04	8.49E-02	NA	NA	6.24E-02
PPP2R5C	8.85E-03	1.88E-01	1.55E-02	1.96E-01	4.57E-01	2.23E-01	6.24E-02
PSKH1	5.55E-03	1.65E-01	2.30E-02	2.21E-01	9.33E-02	5.66E-03	6.24E-02
BCAR3	1.42E-02	2.17E-01	1.01E-02	1.77E-01	9.31E-01	9.88E-01	6.24E-02
AHCYL1	4.35E-03	1.54E-01	2.74E-02	2.34E-01	1.65E-01	4.45E-01	6.24E-02
NANOG	3.57E-03	1.48E-01	3.04E-02	2.41E-01	6.80E-01	9.79E-01	6.24E-02
C7orf64	1.59E-02	2.26E-01	8.57E-03	1.73E-01	NA	NA	6.24E-02
SUV420H2	1.57E-02	2.25E-01	8.76E-03	1.73E-01	6.83E-01	3.82E-01	6.24E-02
CCDC123	2.39E-02	2.58E-01	5.39E-03	1.51E-01	5.05E-01	6.72E-01	6.24E-02
UBLCP1	7.58E-03	1.81E-01	1.79E-02	2.04E-01	4.34E-01	2.41E-01	6.24E-02
TMEM189	6.28E-03	1.73E-01	2.09E-02	2.15E-01	9.87E-01	2.73E-01	6.24E-02
INHBB	3.59E-02	2.85E-01	2.93E-03	1.32E-01	2.17E-01	3.89E-02	6.34E-02
CLDN11	9.83E-04	1.17E-01	6.03E-02	3.12E-01	3.46E-02	7.02E-01	6.34E-02
VDAC1	1.36E-02	2.12E-01	1.15E-02	1.80E-01	7.32E-01	4.24E-01	6.34E-02
TFEB	1.93E-02	2.37E-01	7.51E-03	1.65E-01	7.20E-01	1.07E-01	6.34E-02
EID1	5.47E-03	1.64E-01	2.47E-02	2.25E-01	8.91E-01	3.40E-01	6.34E-02
BRP44	3.49E-02	2.83E-01	2.96E-03	1.32E-01	6.71E-01	7.41E-01	6.34E-02
NPHP3	2.06E-03	1.32E-01	4.36E-02	2.77E-01	4.86E-01	3.85E-01	6.34E-02
FAHD2A	2.60E-02	2.66E-01	4.79E-03	1.46E-01	1.69E-01	8.46E-01	6.34E-02
SLC12A9	3.51E-02	2.84E-01	3.15E-03	1.35E-01	3.92E-02	2.34E-02	6.34E-02
AKTIP	5.88E-03	1.68E-01	2.35E-02	2.22E-01	9.20E-04	7.50E-03	6.34E-02
LASS5	1.53E-02	2.24E-01	9.59E-03	1.77E-01	4.04E-03	9.03E-02	6.34E-02
ZMYND17	7.59E-03	1.81E-01	1.91E-02	2.06E-01	1.00E-01	9.27E-01	6.34E-02
LOC219347	4.01E-02	2.97E-01	2.29E-03	1.24E-01	NA	NA	6.34E-02
FAM181B	5.11E-02	3.23E-01	1.45E-03	1.14E-01	NA	NA	6.34E-02
HNRNPUL2	1.83E-03	1.31E-01	4.53E-02	2.79E-01	2.35E-01	9.46E-01	6.34E-02
LOC100170939	9.18E-05	6.93E-02	1.17E-01	4.12E-01	NA	NA	6.34E-02
CACNB4	2.95E-02	2.75E-01	4.37E-03	1.45E-01	4.37E-01	8.98E-01	6.51E-02
CD82	4.62E-03	1.57E-01	2.92E-02	2.39E-01	2.92E-01	8.50E-02	6.51E-02
KCNA1	8.76E-02	3.95E-01	3.29E-04	7.26E-02	3.10E-01	6.14E-01	6.51E-02
SCN1B	1.09E-02	2.03E-01	1.50E-02	1.94E-01	8.17E-01	7.44E-01	6.51E-02
ZNF227	4.78E-02	3.15E-01	1.76E-03	1.16E-01	3.00E-02	2.37E-01	6.51E-02
SLC2A4RG	3.06E-02	2.78E-01	4.03E-03	1.44E-01	2.32E-01	1.84E-02	6.51E-02
GORASP1	8.76E-03	1.88E-01	1.84E-02	2.04E-01	3.77E-02	5.53E-01	6.51E-02
LAYN	5.27E-03	1.64E-01	2.61E-02	2.29E-01	4.43E-01	5.15E-01	6.51E-02
LOC286002	4.24E-02	3.02E-01	2.31E-03	1.24E-01	NA	NA	6.51E-02
MAP1LC3C	6.53E-03	1.76E-01	2.23E-02	2.20E-01	6.08E-01	8.42E-01	6.51E-02
LOC100128822	3.18E-02	2.80E-01	3.91E-03	1.43E-01	NA	NA	6.51E-02
AMT	2.66E-02	2.68E-01	5.70E-03	1.53E-01	2.84E-02	8.04E-02	6.56E-02
GNB1	6.52E-02	3.51E-01	9.12E-04	9.57E-02	7.71E-01	2.48E-01	6.56E-02
PTPRE	2.56E-02	2.64E-01	5.82E-03	1.54E-01	2.32E-01	5.34E-02	6.56E-02
TAF9	1.17E-02	2.06E-01	1.49E-02	1.94E-01	7.64E-01	6.09E-01	6.56E-02
TNFSF4	3.44E-02	2.83E-01	3.63E-03	1.39E-01	3.09E-01	2.50E-01	6.56E-02
ZNF70	1.03E-02	2.00E-01	1.66E-02	1.98E-01	2.72E-01	7.78E-01	6.56E-02
TSHZ1	1.19E-02	2.07E-01	1.41E-02	1.92E-01	4.50E-01	8.84E-01	6.56E-02
SLC35D1	8.53E-03	1.87E-01	1.92E-02	2.07E-01	3.08E-01	7.10E-01	6.56E-02
HIBCH	2.84E-02	2.73E-01	5.25E-03	1.49E-01	6.64E-01	6.46E-01	6.56E-02
RDH11	2.40E-03	1.39E-01	4.31E-02	2.76E-01	2.37E-01	9.18E-01	6.56E-02
NDRG3	2.80E-02	2.73E-01	5.15E-03	1.49E-01	7.18E-01	2.77E-01	6.56E-02
NDFIP1	2.77E-02	2.72E-01	5.09E-03	1.49E-01	1.35E-01	9.20E-01	6.56E-02
PPP1R1B	4.32E-02	3.04E-01	2.54E-03	1.27E-01	9.18E-01	3.00E-03	6.56E-02
PARD6G	8.10E-03	1.86E-01	2.08E-02	2.15E-01	2.58E-01	1.66E-01	6.56E-02
SLC45A3	9.77E-03	1.97E-01	1.69E-02	1.99E-01	3.09E-01	3.34E-01	6.56E-02
SLC25A48	1.67E-02	2.28E-01	1.00E-02	1.77E-01	NA	NA	6.56E-02
ANKRD52	3.34E-02	2.81E-01	3.97E-03	1.44E-01	1.23E-01	6.44E-01	6.56E-02
SLC35B2	3.93E-03	1.51E-01	3.30E-02	2.48E-01	1.94E-02	3.57E-01	6.56E-02
LOC651250	1.17E-03	1.19E-01	6.00E-02	3.11E-01	NA	NA	6.56E-02
PTTG1IP	4.54E-02	3.09E-01	2.47E-03	1.27E-01	8.80E-01	3.70E-01	6.67E-02
RAD1	2.12E-02	2.44E-01	8.35E-03	1.73E-01	8.78E-01	1.55E-01	6.67E-02
ELL	5.34E-02	3.28E-01	1.64E-03	1.14E-01	9.13E-04	6.40E-01	6.67E-02
CSPG5	1.74E-02	2.30E-01	1.05E-02	1.78E-01	8.73E-01	4.15E-01	6.67E-02
COPS4	1.96E-02	2.38E-01	9.20E-03	1.75E-01	3.19E-01	1.13E-01	6.67E-02
FAM178B	1.65E-03	1.30E-01	5.36E-02	2.98E-01	NA	NA	6.67E-02
CHST15	3.44E-02	2.83E-01	4.03E-03	1.44E-01	NA	NA	6.67E-02
WRNIP1	6.37E-03	1.74E-01	2.51E-02	2.26E-01	2.38E-02	9.17E-01	6.67E-02
MEAF6	8.31E-03	1.87E-01	2.12E-02	2.16E-01	NA	NA	6.67E-02
ZNF527	5.27E-04	9.26E-02	8.07E-02	3.50E-01	1.37E-01	1.55E-01	6.67E-02
COG7	5.04E-02	3.22E-01	1.88E-03	1.17E-01	8.98E-03	1.32E-03	6.67E-02
40605	1.67E-02	2.28E-01	1.10E-02	1.80E-01	NA	NA	6.67E-02
PCNXL3	5.31E-02	3.28E-01	1.73E-03	1.16E-01	9.91E-01	8.48E-01	6.67E-02
RNF216L	1.24E-01	4.50E-01	1.09E-04	5.22E-02	NA	NA	6.67E-02
H2AFX	8.87E-03	1.88E-01	2.15E-02	2.17E-01	9.49E-01	9.70E-01	6.81E-02
NFIA	2.45E-02	2.60E-01	7.10E-03	1.61E-01	3.87E-01	2.60E-02	6.81E-02
PPP3R1	5.09E-02	3.23E-01	2.04E-03	1.18E-01	7.47E-01	2.94E-02	6.81E-02
PEX5	5.61E-03	1.66E-01	2.95E-02	2.40E-01	2.29E-01	7.95E-01	6.81E-02
RBM4	2.28E-02	2.52E-01	8.14E-03	1.72E-01	2.71E-01	1.68E-02	6.81E-02
ZCCHC11	1.43E-02	2.17E-01	1.36E-02	1.89E-01	3.25E-01	3.85E-01	6.81E-02
ODZ4	3.29E-02	2.81E-01	4.73E-03	1.46E-01	2.75E-01	1.92E-03	6.81E-02
MRPS35	2.13E-02	2.45E-01	8.82E-03	1.73E-01	3.32E-01	9.89E-01	6.81E-02
ZNF665	6.30E-03	1.73E-01	2.77E-02	2.35E-01	2.55E-01	4.02E-01	6.81E-02
CYBRD1	7.65E-03	1.81E-01	2.39E-02	2.22E-01	8.69E-01	4.99E-01	6.81E-02
NAV1	3.40E-04	9.24E-02	9.52E-02	3.76E-01	5.30E-01	4.30E-01	6.81E-02
APOE	1.32E-02	2.12E-01	1.60E-02	1.97E-01	2.20E-01	6.49E-01	6.90E-02
BECN1	1.80E-02	2.33E-01	1.16E-02	1.80E-01	3.67E-06	7.58E-02	6.90E-02
SYNJ1	9.38E-02	4.04E-01	4.37E-04	7.91E-02	1.85E-02	6.38E-01	6.90E-02
SMC3	1.44E-02	2.17E-01	1.47E-02	1.94E-01	9.60E-01	7.14E-01	6.90E-02
CAPN10	3.00E-02	2.77E-01	6.00E-03	1.54E-01	4.26E-01	6.86E-02	6.90E-02
SEPHS1	1.45E-02	2.18E-01	1.39E-02	1.91E-01	4.73E-01	9.99E-01	6.90E-02
ZBTB20	6.67E-03	1.77E-01	2.81E-02	2.36E-01	5.02E-01	9.65E-01	6.90E-02
CMPK1	2.34E-02	2.55E-01	8.46E-03	1.73E-01	3.39E-01	3.48E-01	6.90E-02
NDE1	3.47E-03	1.48E-01	4.18E-02	2.73E-01	3.71E-02	5.69E-01	6.90E-02
MSL2	6.47E-02	3.50E-01	1.33E-03	1.09E-01	NA	NA	6.90E-02
RPRD1A	7.15E-02	3.67E-01	9.50E-04	9.74E-02	NA	NA	6.90E-02
ACSS3	5.37E-03	1.64E-01	3.23E-02	2.47E-01	9.24E-01	8.79E-02	6.90E-02
TRAPPC6B	4.92E-03	1.60E-01	3.37E-02	2.50E-01	4.39E-01	2.10E-02	6.90E-02
ZNF25	2.74E-03	1.42E-01	4.63E-02	2.81E-01	8.45E-02	1.12E-01	6.90E-02
PHACTR1	3.34E-02	2.81E-01	4.99E-03	1.48E-01	6.02E-02	6.90E-03	6.90E-02
NQO1	5.14E-03	1.62E-01	3.36E-02	2.50E-01	7.14E-01	6.52E-01	7.02E-02
GLRB	2.70E-02	2.70E-01	7.25E-03	1.63E-01	8.20E-02	6.78E-01	7.02E-02
GPM6B	5.77E-04	9.26E-02	8.81E-02	3.65E-01	NA	NA	7.02E-02
FZD4	3.62E-02	2.86E-01	4.77E-03	1.46E-01	4.73E-02	1.24E-01	7.02E-02
SUCLA2	2.67E-02	2.69E-01	7.49E-03	1.65E-01	6.76E-01	5.58E-01	7.02E-02
RASGRP1	6.54E-02	3.51E-01	1.41E-03	1.12E-01	8.16E-02	4.47E-02	7.02E-02
TSPAN15	5.26E-03	1.64E-01	3.39E-02	2.50E-01	7.74E-03	7.79E-01	7.02E-02
HAPLN2	9.11E-03	1.91E-01	2.31E-02	2.21E-01	1.08E-01	3.33E-01	7.02E-02
ZNF160	1.85E-02	2.34E-01	1.20E-02	1.83E-01	1.18E-01	7.97E-01	7.02E-02
