Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
PDK4	5.29E-05	4.89E-02	2.28E-02	2.21E-01	4.05E-01	7.99E-01	1.98E-02
PFKFB4	2.09E-04	8.60E-02	1.28E-02	1.86E-01	1.07E-01	5.58E-01	1.98E-02
UPF1	2.47E-03	1.40E-01	2.29E-03	1.24E-01	8.01E-01	5.54E-01	1.98E-02
CDC42EP2	6.93E-03	1.78E-01	4.31E-04	7.91E-02	1.97E-01	9.84E-01	1.98E-02
RIMS1	1.03E-02	2.00E-01	3.92E-04	7.91E-02	1.34E-01	5.81E-03	1.98E-02
FRMD4B	1.55E-03	1.30E-01	2.60E-03	1.28E-01	2.99E-01	6.12E-01	1.98E-02
KAZN	5.64E-04	9.26E-02	8.29E-03	1.73E-01	NA	NA	1.98E-02
METTL7A	4.59E-04	9.26E-02	6.70E-03	1.60E-01	5.64E-02	1.60E-01	1.98E-02
CNNM3	4.89E-05	4.89E-02	2.08E-02	2.15E-01	3.29E-02	2.82E-03	1.98E-02
RNF11	7.08E-03	1.79E-01	3.74E-04	7.83E-02	4.15E-01	4.07E-01	1.98E-02
ZNF350	1.67E-03	1.30E-01	3.57E-03	1.39E-01	8.51E-01	9.74E-01	1.98E-02
AGBL4	1.95E-02	2.38E-01	1.17E-04	5.22E-02	1.17E-02	7.20E-01	1.98E-02
FAM69C	9.18E-04	1.13E-01	4.08E-03	1.44E-01	NA	NA	1.98E-02
UNC80	2.69E-02	2.70E-01	5.36E-05	5.22E-02	NA	NA	1.98E-02
ARHGAP1	7.48E-03	1.80E-01	1.00E-03	9.77E-02	5.18E-03	3.37E-01	2.60E-02
CTNS	4.47E-03	1.55E-01	1.95E-03	1.17E-01	1.26E-02	6.79E-02	2.60E-02
EIF4G2	1.59E-02	2.26E-01	3.02E-04	7.05E-02	6.69E-01	3.32E-01	2.60E-02
ELAVL2	5.80E-03	1.67E-01	2.00E-03	1.18E-01	3.15E-01	8.96E-01	2.60E-02
MAP2	2.26E-02	2.51E-01	1.22E-04	5.22E-02	5.39E-01	6.18E-02	2.60E-02
NDUFA5	2.85E-03	1.42E-01	4.03E-03	1.44E-01	3.21E-01	4.13E-01	2.60E-02
PVALB	2.08E-03	1.32E-01	4.40E-03	1.45E-01	4.00E-01	6.20E-01	2.60E-02
SMARCD2	8.67E-04	1.12E-01	9.25E-03	1.75E-01	3.63E-02	3.64E-01	2.60E-02
RNF103	2.57E-04	8.72E-02	1.68E-02	1.99E-01	6.89E-01	7.84E-02	2.60E-02
ALDH4A1	1.86E-03	1.31E-01	6.15E-03	1.54E-01	4.58E-01	3.81E-01	2.60E-02
KCNAB3	7.02E-04	9.84E-02	1.03E-02	1.78E-01	6.85E-01	5.26E-01	2.60E-02
